,0
FAM65B,0.028575140935208184
TNFRSF17,0.02858002093062393
CCDC108,0.028597982622957426
CAV1,0.028611569925114197
MFI2,0.028681081466498348
HPCAL4,0.028687854890977416
GRIP1,0.02884779535677363
MFSD4,0.028880588977382857
POTEE,0.02895667807127962
L1CAM,0.02906444287441932
TWIST2,0.029137749014117167
YSK4,0.029162619676306126
HIST1H3G,0.029194565155101222
CAV2,0.029237516215342672
ITIH4,0.029367736658255705
TNFRSF13B,0.029756381561919006
POU2AF1,0.029824039582264854
CHST8,0.030183139846182563
CHRNA1,0.030195981913021173
LPHN3,0.030232462367280694
ELOVL6,0.03027129077757167
HLA-DQB2,0.03044413752947182
TREML2,0.030448094311187012
FBXO17,0.030486523605373766
EFCAB10,0.03065268846763966
MEF2B,0.030694781961142874
ATP10B,0.030717812788149838
PROM1,0.030734433806741752
IPCEF1,0.03073979091790769
HTR2B,0.03081629905386624
C11orf21,0.03086016435838099
IGJ,0.030876069105620272
GNMT,0.030924851258750566
KCNQ1,0.031008776551559505
FAM3B,0.031053198740595558
SPATS1,0.031064527649902807
RHPN1,0.03120398896649778
TMEM132D,0.03131672916404872
FOXJ1,0.03156133628528362
SPRR1B,0.03158656279132171
AMBP,0.031830252776207324
CDC20B,0.03183386578842714
LOC100128675,0.031854705469579275
NPAS2,0.03188339721402872
ADAM33,0.031890617578896545
NHLRC4,0.03189526457605266
C6orf154,0.03189728818658931
C11orf41,0.03190330854561444
CLDN2,0.031970443071219073
C6orf176,0.032180560880891315
DIRAS2,0.03221569180058261
HS3ST6,0.03224941395139549
NCRNA00162,0.03225418832187173
RPS6KA6,0.03248261007810399
TTLL9,0.03254136976966448
CNNM1,0.032572362852289656
SLCO1B3,0.032586567184111376
CD79B,0.032812745263872
ANGPTL4,0.03287843490026292
NLGN1,0.03288701831679646
PNMA3,0.03288924197961048
S100A7,0.03290850605310813
SNTN,0.03299274184729759
FGA,0.033150163127123024
GRIK3,0.03334922691817613
BCAN,0.03338775274223336
C1orf114,0.03350246666026955
LRRC48,0.03361908001633898
ANO4,0.033624457469238776
TEKT3,0.033785225348255746
C7orf57,0.03384143497569111
CX3CL1,0.03398956783036763
SPATA18,0.03403793669819791
GPR64,0.03407110257381779
CYP4X1,0.03430464524608375
UPF0639,0.034795831993282275
FIBCD1,0.03504053436209113
PER3,0.035068646187356695
PAX5,0.03508896148466988
CENPE,0.03509111632052558
FAM72D,0.03521071649055071
CCDC89,0.03522097116862292
FABP5,0.03527321164237764
SPRR2A,0.0354255147413101
TGFB2,0.03576036256690878
SLCO4C1,0.03612556086484845
FAM72B,0.036137348491924605
PLA2G10,0.036208778516651
BAI1,0.03638977497239381
PKHD1L1,0.036413875623284596
FAM181A,0.0364252967539422
CD207,0.03645790270766432
TCTE1,0.03648533983889285
ADHFE1,0.03654795758399397
CNFN,0.036585297334058256
E2F7,0.03669331096306156
RSPH10B2,0.036734075568714754
CCDC65,0.036759887244338575
KCNIP3,0.03682655959260385
MS4A14,0.03690720178034336
SHC2,0.03694373256098867
LCN2,0.036966622629790113
SYT2,0.03710711066062425
C1orf194,0.037108445355896795
NGF,0.037151715802828
IRX4,0.03716492384447574
TMEM195,0.037274041414351027
FHAD1,0.03728059434974494
POLR2J2,0.03732460517953085
VWA3B,0.03749639445577954
SOX2OT,0.03752347764004917
ABLIM3,0.03766057907565804
PPM1E,0.0379483405399511
MYH15,0.037990374676141955
CDH15,0.03808765721814763
COMP,0.038185015786874305
CDC25A,0.03834148683376835
LONRF2,0.038675709621533924
CR2,0.0387366538937941
C1orf158,0.038741758598174185
S100A12,0.0388303936953386
CENPK,0.03922906260700972
VCAN,0.039248429724035076
SFRP1,0.03957823810613116
COL11A2,0.039903872885129435
WDFY4,0.03994166478416995
NEUROD1,0.04002824528778639
KCNRG,0.04007139242769122
S100A3,0.040289236076649575
SIK1,0.040295529105651866
EXO1,0.04037675820816159
FAM129C,0.04037692703987645
GPR133,0.040526274328165815
FIGNL2,0.040560795379351325
TSHR,0.040708962019353624
ABCA17P,0.04073870366560358
NUDT11,0.04076819044704938
